PollingPlace,Address
Allawah,"PJ Ferry Reserve Community Hall, 147B Bellevue Pde, ALLAWAH NSW 2218"
Allawah South,"St Raphael's Church Hall, 84 George St, SOUTH HURSTVILLE NSW 2221"
Bankstown BANKS PPVC,"Bankstown Senior Citizens Centre, 7 West Tce, BANKSTOWN NSW 2200"
Beverly Hills North (Banks),"Beverly Hills North Public School, 1-3 Shorter Ave, BEVERLY HILLS NSW 2209"
Beverly Hills South (Banks),"Beverly Hills Public School, 562 King Georges Rd, BEVERLY HILLS NSW 2209"
Blakehurst North,"Blakehurst High School, 270A Woniora Rd, BLAKEHURST NSW 2221"
Carlton South (Banks),"Carlton South Public School, 67 Jubilee Ave, CARLTON NSW 2218"
Carlton West,"Park Road Anglican Church, 34 Park Rd, CARLTON NSW 2218"
Central Sydney (Banks),"TAFE NSW Ultimo Campus, 2-10 Mary Ann St, ULTIMO NSW 2007"
Central Sydney BANKS PPVC,"TAFE NSW Ultimo Campus, 2-10 Mary Ann St, ULTIMO NSW 2007"
Connells Point (Banks),"Connells Point Public School, Riverview Ave, CONNELLS POINT NSW 2221"
East Hills,"East Hills Girls High School, Lucas Rd, EAST HILLS NSW 2213"
EAV Banks PPVC,"AEC National EAV Centre, 10 Mort St, CANBERRA ACT 2601"
EAV COVID19 Banks PPVC,"AEC National EAV2 Centre, 10 Mort St, CANBERRA ACT 2601"
Haymarket BANKS PPVC,"Sydney Masonic Centre, 66 Goulburn St, SYDNEY NSW 2000"
Hurstville (Banks),"Hurstville Senior Citizens Centre, 91 Queens Rd, HURSTVILLE NSW 2220"
Hurstville BANKS PPVC,"43 Bridge Street, Office 1 43 Bridge St, HURSTVILLE NSW 2220"
Hurstville East (Banks),"Hurstville Public School, 72 Forest Rd, HURSTVILLE NSW 2220"
Hurstville Grove,"Hurstville Grove Infants School, 81 Lansdowne St, PENSHURST NSW 2222"
Hurstville South,"Hurstville South Public School, 32-48 Maher St, HURSTVILLE NSW 2220"
Lugarno,"Lugarno Public School, 38 Old Forest Rd, LUGARNO NSW 2210"
Lugarno North,"Lugarno Anglican Church, 3A Old Forest Rd, LUGARNO NSW 2210"
Mortdale Central,"Mortdale Community Centre, 2B Boundary Rd, MORTDALE NSW 2223"
Mortdale East,"Mortdale Public School, Coleborne Ave, MORTDALE NSW 2223"
Mortdale West,"Penshurst West Public School, Scott St, MORTDALE NSW 2223"
Narwee,"Narwee Public School, 61-65 Broadarrow Rd, NARWEE NSW 2209"
Oatley,"Oatley Public School, 51-63 Letitia St, OATLEY NSW 2223"
Oatley East,"Oatley Anglican Church Hall, 57 Rosa St, OATLEY NSW 2223"
Oatley West,"Oatley West Public School, Oatley Park Ave, OATLEY NSW 2223"
Padstow,"Padstow Park Public School, Segers Ave, PADSTOW NSW 2211"
Padstow BANKS PPVC,"Padstow TAFE, Block C Dining Room, Raine Rd, PADSTOW NSW 2211"
Padstow East,"Padstow Senior Citizens Centre, 17 Cahors Rd, PADSTOW NSW 2211"
Padstow South,"Padstow Heights Public School, 94-96 Chamberlain Rd, PADSTOW HEIGHTS NSW 2211"
Panania,"Panania Senior Citizens Centre, 77 Anderson Ave, PANANIA NSW 2213"
Panania Central,"2nd Panania Scouts Hall, 21 Wilson St, PANANIA NSW 2213"
Panania North,"Panania North Public School, 202-204 Bransgrove Rd, PANANIA NSW 2213"
Panania South,"Panania Public School, 21A Lawler St, PANANIA NSW 2213"
Peakhurst East,"Peakhurst Public School, 65A Bonds Rd, PEAKHURST NSW 2210"
Peakhurst South,"Peakhurst South Public School, 45 Pindari Rd, PEAKHURST HEIGHTS NSW 2210"
Peakhurst West,"Peakhurst West Public School, Ogilvy St, PEAKHURST NSW 2210"
Penshurst,"Penshurst Public School, Arcadia St, PENSHURST NSW 2222"
Penshurst Central,"Penshurst Girls Campus, 2 Austral St, PENSHURST NSW 2222"
Picnic Point North,"Picnic Point High School, 61 Kennedy St, PICNIC POINT NSW 2213"
Picnic Point South,"1st Picnic Point Scout Hall, 23 Carinya Rd, PICNIC POINT NSW 2213"
Revesby,"Revesby YMCA, 184 The River Rd, REVESBY NSW 2212"
Revesby North (Banks),"Revesby Public School, 67 Victoria St, REVESBY NSW 2212"
Revesby South,"Revesby South Public School, Mars St, REVESBY NSW 2212"
Riverwood East (Banks),"Hannans Road Public School, 32 Hannans Rd, RIVERWOOD NSW 2210"
Riverwood North,"Riverwood Public School, 11 Union St, RIVERWOOD NSW 2210"
Riverwood South,"St Andrew's Church Hall, 9 Littleton St, RIVERWOOD NSW 2210"
Sydney (Banks),"York Events, Lvl 2 95-99 York St, SYDNEY NSW 2000"
Sydney BANKS PPVC,"York Events, Lvl 2 95-99 York St, SYDNEY NSW 2000"
Arncliffe,"Arncliffe Community Centre Coronation Hall, 23 Barden St, ARNCLIFFE NSW 2205"
Arncliffe Central,"Arncliffe Public School, 168-170 Princes Hwy, ARNCLIFFE NSW 2205"
Arncliffe North,"Bayside Anglican Church, 54 Forest Rd, ARNCLIFFE NSW 2205"
Arncliffe West,"Athelstane Public School, 2-12 Athelstane Ave, ARNCLIFFE NSW 2205"
Bardwell Park,"Bardwell Park Infants School, 4 Crewe La, BARDWELL PARK NSW 2207"
Belmore BARTON PPVC,"Belmore Church of Christ, 476 Burwood Rd, BELMORE NSW 2192"
Beverly Hills,"St Bede's Anglican Church Hall, 117-119 Morgan St, BEVERLY HILLS NSW 2209"
Beverly Hills Central,"Beverly Hills Uniting Church Hall, 82 Ponyara Rd, BEVERLY HILLS NSW 2209"
Beverly Hills South (Barton),"Beverly Hills Public School, 562 King Georges Rd, BEVERLY HILLS NSW 2209"
Bexley,"Bexley Baptist Church, 484 Forest Rd, BEXLEY NSW 2207"
Bexley Central,"St Gabriel's Primary School, 50-52 Abercorn St, BEXLEY NSW 2207"
Bexley East,"Bexley Public School, 330-354 Forest Rd, BEXLEY NSW 2207"
Bexley North,"Bexley North Public School, 116 Kingsland Rd N, BEXLEY NORTH NSW 2207"
Bexley North Park,"Kingsgrove/Bexley North Community Centre, 54A Shaw St, BEXLEY NORTH NSW 2207"
Bexley South,"Sydney Technical High School, 686 Forest Rd, BEXLEY NSW 2207"
Bexley West,"Bexley West Uniting Church Hall, 80A St Georges Rd, BEXLEY NSW 2207"
Brighton-Le-Sands (Barton),"Brighton-Le-Sands Public School, 35 Crawford Rd, BRIGHTON-LE-SANDS NSW 2216"
Brighton North,"St Mark's Anglican Church Hall, 3 Trafalgar St, BRIGHTON-LE-SANDS NSW 2216"
Canterbury South,"Canterbury South Public School, 20 High St, CANTERBURY NSW 2193"
Carlton,"Carlton Public School, 60 Cameron St, BEXLEY NSW 2207"
Carlton South (Barton),"Carlton South Public School, 67 Jubilee Ave, CARLTON NSW 2218"
Central Sydney (Barton),"TAFE NSW Ultimo Campus, 2-10 Mary Ann St, ULTIMO NSW 2007"
Central Sydney BARTON PPVC,"TAFE NSW Ultimo Campus, 2-10 Mary Ann St, ULTIMO NSW 2007"
Clemton Park,"Clemton Park Public School, 185 Bexley Rd, KINGSGROVE NSW 2208"
Clemton Park West,"Clemton Park Uniting Church, 6 Dunkirk Ave, KINGSGROVE NSW 2208"
Earlwood,"Earlwood Uniting Church Hall, 16 William St, EARLWOOD NSW 2206"
Earlwood Central,"Our Lady of Lourdes Church Hall, St James Ave, EARLWOOD NSW 2206"
Earlwood South,"Earlwood Public School, 396 Homer St, EARLWOOD NSW 2206"
EAV Barton PPVC,"AEC National EAV Centre, 10 Mort St, CANBERRA ACT 2601"
EAV COVID19 Barton PPVC,"AEC National EAV2 Centre, 10 Mort St, CANBERRA ACT 2601"
Haymarket BARTON PPVC,"Sydney Masonic Centre, 66 Goulburn St, SYDNEY NSW 2000"
Hurlstone Park (Barton),"CDC Studios, 67 Duntroon St, HURLSTONE PARK NSW 2193"
Hurstville (Barton),"Hurstville Senior Citizens Centre, 91 Queens Rd, HURSTVILLE NSW 2220"
Hurstville BARTON PPVC,"43 Bridge Street, Office 1 43 Bridge St, HURSTVILLE NSW 2220"
Hurstville East (Barton),"Hurstville Public School, 72 Forest Rd, HURSTVILLE NSW 2220"
Hurstville North,"Kingsway Scout Hall, 74 Barnards Ave, HURSTVILLE NSW 2220"
Kingsgrove,"South-West Evangelical Church Hall, 4 Morgan St, KINGSGROVE NSW 2208"
Kingsgrove North (Barton),"Kingsgrove North High School, 2-10 St Albans Rd, KINGSGROVE NSW 2208"
Kingsgrove South,"Kingsgrove High School, 333 Kingsgrove Rd, KINGSGROVE NSW 2208"
Kogarah Central,"Kogarah High School, 22A Gladstone St, KOGARAH NSW 2217"
Kogarah West,"Kogarah West Senior Citizens Centre, 15 Taylor St, KOGARAH NSW 2217"
Kyeemagh,"Kyeemagh Public School, cnr Jacobson Ave & Beehag St, KYEEMAGH NSW 2216"
Marrickville BARTON PPVC,"Marrickville Town Hall, 303 Marrickville Rd, MARRICKVILLE NSW 2204"
Marrickville Park (Barton),"Marrickville Uniting Church, Thomas Roseby Lodge, 388-390 Illawarra Rd, MARRICKVILLE NSW 2204"
Marrickville South,"Ferncourt Public School, 74 Premier St, MARRICKVILLE NSW 2204"
Marrickville West (Barton),"Marrickville West Public School, cnr Beauchamp St & Livingstone Rd, MARRICKVILLE NSW 2204"
Rockdale,"Rockdale Public School, 4 Lord St, ROCKDALE NSW 2216"
Rockdale BARTON PPVC,"552 Princes Hwy, ROCKDALE NSW 2216"
Rockdale Central,"Rockdale Uniting Church Hall, 5 Bay St, ROCKDALE NSW 2216"
Rockdale City,"Rockdale Senior Citizens Centre, 36 George St, ROCKDALE NSW 2216"
Rockdale West,"St Joseph's Parish Centre, 13 Parker St, ROCKDALE NSW 2216"
Sydney (Barton),"York Events, Lvl 2 95-99 York St, SYDNEY NSW 2000"
Sydney BARTON PPVC,"York Events, Lvl 2 95-99 York St, SYDNEY NSW 2000"
Tempe,"Tempe High School, 119 Unwins Bridge Rd, TEMPE NSW 2044"
Turrella,"Arncliffe West Infants School, 7 Loftus St, TURRELLA NSW 2205"
Undercliffe,"Undercliffe Public School, 143-157 Bayview Ave, EARLWOOD NSW 2206"
Carlingford (Bennelong),"Carlingford Public School, 5 Rickard St, CARLINGFORD NSW 2118"
Carlingford East,"Roselea Public School, 549 North Rocks Rd, CARLINGFORD NSW 2118"
Central Sydney (Bennelong),"TAFE NSW Ultimo Campus, 2-10 Mary Ann St, ULTIMO NSW 2007"
Central Sydney BENNELONG PPVC,"TAFE NSW Ultimo Campus, 2-10 Mary Ann St, ULTIMO NSW 2007"
Chatswood BENNELONG PPVC,"The Meridian, 658 Pacific Hwy, CHATSWOOD NSW 2067"
Denistone,"Eastwood Baptist Hall, 3 First Ave, EASTWOOD NSW 2122"
Denistone East,"Denistone East Public School, 47-63 Lovell Rd, DENISTONE EAST NSW 2112"
Denistone South,"West Ryde Anglican Church, 14 Bellevue Ave, WEST RYDE NSW 2114"
Denistone West,"8 Lakeside Rd, 1 Glen St, EASTWOOD NSW 2122"
East Ryde,"Ryde East Public School, 12-14 Twin Rd, NORTH RYDE NSW 2113"
East Ryde Central,"Ryde Secondary College, 5 Malvina St, RYDE NSW 2112"
East Ryde Heights,"East Ryde Scout Hall, 27A John Miller St, RYDE NSW 2112"
Eastwood,"Eastwood Public School, 212-280 Rowe St, EASTWOOD NSW 2122"
Eastwood BENNELONG PPVC,"8 Lakeside Rd, 1 Glen St, EASTWOOD NSW 2122"
Eastwood Heights,"Eastwood Heights Public School, 9A Lincoln St, EASTWOOD NSW 2122"
Eastwood West,"Corrective Services Academy, 66 Terry Rd, EASTWOOD NSW 2122"
EAV Bennelong PPVC,"AEC National EAV Centre, 10 Mort St, CANBERRA ACT 2601"
EAV COVID19 Bennelong PPVC,"AEC National EAV2 Centre, 10 Mort St, CANBERRA ACT 2601"
Epping,"Epping Church of Christ, 31 Bridge St, EPPING NSW 2121"
Epping BENNELONG PPVC,"Boronia Grove Community Centre, 40 Victoria St, EPPING NSW 2121"
Epping East,"Epping Public School, 1-18 Norfolk Rd, EPPING NSW 2121"
Epping Heights,"Epping Heights Public School, 128 Kent St, EPPING NSW 2121"
Epping North,"Epping North Public School, 89-119 Boundary Rd, NORTH EPPING NSW 2121"
Epping West,"Epping West Public School, 96 Carlingford Rd, EPPING NSW 2121"
Ermington Central,"Rydalmere East Public School, 41 Spurway St, ERMINGTON NSW 2115"
Ermington West (Bennelong),"Ermington West Public School, 383 Vignes St, ERMINGTON NSW 2115"
Gladesville (Bennelong),"Gladesville Public School, 178 Victoria Rd, GLADESVILLE NSW 2111"
Gladesville North,"Gladesville Sporties, 181A Ryde Rd, GLADESVILLE NSW 2111"
Haymarket BENNELONG PPVC,"Sydney Masonic Centre, 66 Goulburn St, SYDNEY NSW 2000"
Hunters Hill North (Bennelong),"Boronia Park Public School, 113 Pittwater Rd, HUNTERS HILL NSW 2110"
Macquarie Park,"Morling College, 122 Herring Rd, MACQUARIE PARK NSW 2113"
Macquarie Park South,"Kent Road Public School, 45-61 Herring Rd, MARSFIELD NSW 2122"
Marsfield,"Macquarie Anglican Church (St Georges Pre-school), 100 Balaclava Rd, EASTWOOD NSW 2122"
Marsfield North,"Epping Boys High School, 213 Vimiera Rd, MARSFIELD NSW 2122"
Meadowbank,"Boronia Grove Community Centre, 40 Victoria St, EPPING NSW 2121"
Melrose Park,"Melrose Park Public School, 110 Wharf Rd, MELROSE PARK NSW 2114"
